hostname,exp,exp_category,category,host,where,asn
taleemabad.com,01,education,CDN,AWS,"Singapore, Central Singapore, SG",AS16509
telemart.pk,01,ecommerce,CDN,Cloudflare,"Kwai Chung, Kwai Tsing District, HK",AS13335
telenor.com.pk,01,telecom,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
thenews.com.pk,01,news,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
tribune.com.pk,01,news,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
uet.edu.pk,01,education,CDN,Cloudflare,"Kwai Chung, Kwai Tsing District, HK",AS13335
urdupoint.com,01,news,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
zameen.com,01,real_estate,CDN,AWS,"Dublin, Leinster, IE",AS16509
kp.gov.pk,01,government,Pakistan,NTC-AS-AP,"Rawalpindi, Punjab, PK",AS23888
lums.edu.pk,01,education,Pakistan,PKTELECOM-AS-PK,"Lahore, Punjab, PK",AS17557
pta.gov.pk,01,government,Pakistan,NTC-AS-AP,"Rawalpindi, Punjab, PK",AS23888
pu.edu.pk,01,education,Pakistan,HECPERN-AS-PK,"Lahore, Punjab, PK",AS45773
railways.gov.pk,01,government,Pakistan,CYBERNET-AP,"Karachi, Sindh, PK",AS9541
sindh.gov.pk,01,government,Pakistan,NTC-AS-AP,"Rawalpindi, Punjab, PK",AS23888
zong.com.pk,01+1.4,telecom,Abroad,AS-26496-GO-DADDY-COM-LLC,"Singapore, North West, SG",AS26496
secp.gov.pk,01+1.4,government,CDN,Cloudflare,"Karachi, Sindh, PK",AS13335
dunyanews.tv,01+1.4,news,Pakistan,MULTINET-AS-AP,"Islamabad, Islamabad, PK",AS9260
fbr.gov.pk,01+1.4,government,Pakistan,FBR-AS-AP,"Islamabad, Islamabad, PK",AS138424
