prefix,total_paths,pk_paths,pk_asns
124.29.223.0/24,397,90,PTCL
192.140.148.0/22,342,0,
2400:adc0:c102::/48,335,0,
202.47.54.0/24,367,0,
59.103.107.0/24,389,372,PTCL
202.47.35.0/24,354,0,
153.117.44.0/24,341,0,
202.163.110.0/24,373,0,
61.5.145.0/24,360,0,
153.117.28.0/24,342,0,
137.59.225.0/24,367,0,
202.163.97.0/24,373,0,
59.103.111.0/24,390,132,PTCL
2400:adc0:210::/48,336,0,
2400:adc0:4005::/48,330,0,
101.53.253.0/24,361,0,
137.59.223.0/24,354,0,
175.107.224.0/24,354,0,
206.135.173.0/24,42,0,
203.101.164.0/24,390,138,PTCL
153.117.6.0/24,342,0,
2400:addc:100::/40,366,366,PTCL
61.5.143.0/24,349,0,
103.31.105.0/24,342,0,
139.135.46.0/24,368,0,
36.255.45.0/24,353,0,
2400:adca:100::/40,338,0,
202.47.61.0/24,348,348,PTCL
2400:adc5:300::/40,352,0,
58.65.223.0/24,348,348,PTCL
202.47.38.0/24,354,0,
175.107.247.0/24,354,0,
72.255.36.0/24,354,0,
61.5.155.0/24,363,0,
2400:adc0:31::/48,330,0,
2400:adc0:4500::/48,330,0,
153.117.51.0/24,339,0,
68.166.184.0/24,42,2,PTCL
72.255.17.0/24,354,0,
72.255.40.0/24,371,72,PTCL
101.53.237.0/24,360,0,
2400:adc0:14::/48,329,0,
175.107.232.0/24,373,0,
2400:adc0:4012::/48,330,0,
203.101.188.0/24,378,0,
68.166.186.0/24,42,2,PTCL
61.5.147.0/24,353,134,PTCL
72.255.1.0/24,373,34,PTCL
2400:adc0:c001::/48,334,0,
203.101.170.0/24,367,0,
2400:adc0:4311::/48,329,0,
175.107.215.0/24,354,0,
103.244.173.0/24,354,0,
2400:adc0:4030::/48,329,0,
2400:adc0:4007::/48,330,0,
202.163.72.0/24,369,0,
153.117.13.0/24,342,0,
103.26.84.0/22,344,344,PTCL
202.163.66.0/24,387,195,PTCL
58.65.208.0/24,384,384,PTCL
58.65.196.0/24,354,0,
202.163.117.0/24,354,0,
58.65.214.0/24,348,216,PTCL
61.5.131.0/24,338,4,PTCL
2400:adc0:c410::/48,334,0,
124.29.249.0/24,370,0,
137.59.227.0/24,354,0,
202.163.114.0/24,378,0,
72.255.32.0/24,362,320,PTCL
66.167.206.0/24,42,0,
153.117.29.0/24,342,0,
103.31.93.0/24,348,0,
72.255.4.0/24,325,0,
72.255.47.0/24,367,0,
139.135.54.0/24,349,349,PTCL
206.135.178.0/24,42,0,
153.117.52.0/24,342,9,PTCL
36.255.41.0/24,352,0,
175.107.248.0/24,373,0,
153.117.2.0/24,338,0,
139.135.57.0/24,370,0,
2400:adcc:2800::/40,337,0,
2400:adc0:2::/48,329,0,
2400:adcc::/41,332,0,
