trace_time,target_hostname,target_label,target_category,probe_id,probe_asn,probe_city,target_ip,target_asn,target_asn_name,target_country,dest_rtt_ms,total_hops,timeout_hops,asns_in_path,countries_in_path,dest_location,location_via,destination_responded,measurement_id
2026-06-12T00:46:29+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-12T01:01:28+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-12T01:16:32+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,,0,6,,,"Islamabad, Islamabad, PK",server IP,False,179311279
2026-06-12T07:16:32+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.846,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-12T07:31:30+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,3.036,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-12T07:46:32+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,3.659,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-12T08:01:27+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.862,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-12T08:16:26+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.991,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-12T08:31:31+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.871,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-12T08:46:30+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.754,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-12T09:01:29+00:00,dunyanews.tv,Dunya News,news,1015679,136174,LocalInternetProj01,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,2.945,7,0,6327 > 38193 > 9260,CA > PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T09:15:50+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,42.794,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T09:30:57+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.941,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T09:45:51+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.449,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T10:00:59+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.997,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T10:15:56+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,40.581,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T10:30:58+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,52.877,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T10:45:48+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,50.521,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T11:00:59+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,46.911,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T11:15:56+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,41.174,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T11:30:47+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,42.373,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T11:45:48+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,41.247,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T12:00:57+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,41.248,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T12:15:49+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,41.276,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T12:30:56+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,41.668,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T12:45:50+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,42.015,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T13:00:47+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,41.699,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T13:16:01+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,41.72,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
2026-06-11T13:30:59+00:00,dunyanews.tv,Dunya News,news,1016036,9541,Cybernet,202.142.167.148,9260,"MULTINET-AS-AP - Multinet Pakistan Pvt. Ltd., PK",PK,42.178,12,1,9541 > 38193 > 9260,PK,"Islamabad, Islamabad, PK",server IP,True,179311279
