isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best,provider,mechanism,hop_count_responding,verdict,maxrtt
cybernet,1016143,pinkpetals.pk,4.5,local,1.96,Cloudflare,own_network_direct_registry,4,LOCAL,21.8
cybernet,1016154,pinkpetals.pk,3.9,local,1.7,Cloudflare,own_network_direct_registry,3,LOCAL,5.8
ptcl,1016393,pinkpetals.pk,268.2,distant,116.61,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,464.3
zcom,7613,reading.pk,91.4,distant,33.85,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,165.1
nayatel,60223,reading.pk,2.8,local,1.04,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.4
transworld,62224,reading.pk,95.1,distant,35.22,Cloudflare,no_visible_handoff_short_path,3,TROMBONE,102.9
tes,64078,reading.pk,98.3,distant,36.41,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,104.2
orbit,64535,reading.pk,93.7,distant,34.7,Cloudflare,via_foreign_transit_China Mobile Intl (HK),12,TROMBONE,133.5
tes,64722,reading.pk,78.1,distant,28.93,Cloudflare,via_foreign_transit_China Mobile Intl (HK),11,TROMBONE,175.3
nayatel,65892,reading.pk,2.7,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,3.7
fasttel,1014872,reading.pk,203.9,distant,75.52,Cloudflare,via_foreign_transit_Level3/Lumen,11,TROMBONE,278.6
nova,1015679,reading.pk,92.3,distant,34.19,Cloudflare,via_foreign_transit_China Mobile Intl (HK),10,TROMBONE,107.8
cybernet,1016036,reading.pk,22.0,regional,8.15,Cloudflare,own_network_direct,8,LOCAL,25.8
ptcl,1016126,reading.pk,276.9,distant,102.56,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,293.7
cybernet,1016143,reading.pk,4.6,local,1.7,Cloudflare,own_network_direct_registry,4,LOCAL,4.6
cybernet,1016154,reading.pk,3.3,local,1.22,Cloudflare,own_network_direct_registry,3,LOCAL,3.9
ptcl,1016393,reading.pk,267.6,distant,99.11,Cloudflare,via_foreign_transit_Level3/Lumen,9,TROMBONE,458.5
zcom,7613,sarazcollection.pk,15.7,regional,7.85,Cloudflare,via_Transworld_registry,5,LOCAL,16.3
nayatel,60223,sarazcollection.pk,2.0,local,1.0,Cloudflare,no_visible_handoff_short_path,3,LOCAL,4.2
transworld,62224,sarazcollection.pk,19.7,regional,9.85,Cloudflare,no_visible_handoff_short_path,3,LOCAL,1.1
tes,64078,sarazcollection.pk,22.3,regional,11.15,Cloudflare,own_network_direct_registry,7,LOCAL,23.2
orbit,64535,sarazcollection.pk,18.9,regional,9.45,Cloudflare,via_Transworld_registry,7,LOCAL,21.3
tes,64722,sarazcollection.pk,2.9,local,1.45,Cloudflare,own_network_direct_registry,6,LOCAL,3.5
nayatel,65892,sarazcollection.pk,2.7,local,1.35,Cloudflare,no_visible_handoff_short_path,3,LOCAL,4.2
fasttel,1014872,sarazcollection.pk,21.6,regional,10.8,Cloudflare,via_PTCL,8,LOCAL,29.6
nova,1015679,sarazcollection.pk,17.1,regional,8.55,Cloudflare,via_Transworld_registry,6,LOCAL,34.9
cybernet,1016036,sarazcollection.pk,117.3,distant,58.65,Cloudflare,own_network_direct,8,TROMBONE,131.3
ptcl,1016126,sarazcollection.pk,25.2,regional,12.6,Cloudflare,own_network_direct,6,LOCAL,26.4
cybernet,1016143,sarazcollection.pk,99.3,distant,49.65,Cloudflare,own_network_direct_registry,4,TROMBONE,99.8
cybernet,1016154,sarazcollection.pk,108.6,distant,54.3,Cloudflare,own_network_direct_registry,3,TROMBONE,108.9
ptcl,1016393,sarazcollection.pk,25.7,regional,12.85,Cloudflare,own_network_direct,6,TROMBONE,494.4
zcom,7613,skyscanner.pk,30.5,regional,1.68,Amazon,via_Transworld_registry,5,TROMBONE,91.4
nayatel,60223,skyscanner.pk,40.1,regional,2.2,Amazon,no_visible_handoff_short_path,3,TROMBONE,41.2
transworld,62224,skyscanner.pk,35.6,regional,1.96,Amazon,no_visible_handoff_short_path,3,LOCAL,1.1
