probe_id,probe_isp,target,cls,distance_km,theoretical_ms,measured_ms,ratio,intercity
65892,nayatel,cpsp.edu.pk,Pakistan,1033.4,10.12,25.5,2.52,True
1014872,fasttel,cpsp.edu.pk,Pakistan,1132.8,11.094,23.4,2.11,True
1015491,zcom,cpsp.edu.pk,Pakistan,1036.4,10.15,21.1,2.08,True
1015679,nova,cpsp.edu.pk,Pakistan,1033.7,10.124,18.3,1.81,True
1016126,ptcl,cpsp.edu.pk,Pakistan,0.2,0.002,25.6,16652.25,False
1016143,cybernet,cpsp.edu.pk,Pakistan,0.1,0.001,5.2,3841.01,False
1016154,cybernet,cpsp.edu.pk,Pakistan,0.1,0.001,4.6,3641.61,False
1016393,ptcl,cpsp.edu.pk,Pakistan,964.2,9.443,35.4,3.75,True
7613,zcom,cxtreme.pk,Pakistan,1015.9,9.949,90.1,9.06,True
7764,ptcl,cxtreme.pk,Pakistan,1017.9,9.969,22.5,2.26,True
60223,nayatel,cxtreme.pk,Pakistan,1125.7,11.024,22.1,2.0,True
62224,transworld,cxtreme.pk,Pakistan,1017.8,9.968,20.4,2.05,True
64078,tes,cxtreme.pk,Pakistan,1018.5,9.974,23.2,2.33,True
64535,orbit,cxtreme.pk,Pakistan,927.2,9.08,93.9,10.34,True
64722,tes,cxtreme.pk,Pakistan,20.3,0.199,3.7,18.61,False
65892,nayatel,cxtreme.pk,Pakistan,1018.3,9.973,23.7,2.38,True
1014872,fasttel,cxtreme.pk,Pakistan,1117.3,10.942,23.8,2.18,True
1015491,zcom,cxtreme.pk,Pakistan,1021.3,10.002,19.7,1.97,True
1015679,nova,cxtreme.pk,Pakistan,1018.7,9.977,18.2,1.82,True
1016126,ptcl,cxtreme.pk,Pakistan,15.3,0.15,26.0,172.99,False
1016143,cybernet,cxtreme.pk,Pakistan,15.5,0.152,3.8,25.04,False
1016154,cybernet,cxtreme.pk,Pakistan,15.4,0.151,3.6,23.88,False
1016393,ptcl,cxtreme.pk,Pakistan,948.7,9.292,26.2,2.82,True
7613,zcom,duet.edu.pk,Abroad,13095.5,128.25,263.7,2.06,True
