isp,probe_id,site,min_rtt_ms,pop_class,ratio_vs_best
cybernet,1016154,khushhalibank.com.pk,303.0,distant,1.96
ptcl,1016393,khushhalibank.com.pk,170.4,distant,1.1
zcom,7613,mcb.com.pk,126.0,distant,1.26
nayatel,60223,mcb.com.pk,126.4,distant,1.27
transworld,62224,mcb.com.pk,133.7,distant,1.34
tes,64078,mcb.com.pk,137.9,distant,1.38
orbit,64535,mcb.com.pk,130.9,distant,1.31
tes,64722,mcb.com.pk,113.6,distant,1.14
nayatel,65892,mcb.com.pk,99.9,distant,1.0
fasttel,1014872,mcb.com.pk,104.5,distant,1.05
nova,1015679,mcb.com.pk,132.8,distant,1.33
cybernet,1016036,mcb.com.pk,138.6,distant,1.39
ptcl,1016126,mcb.com.pk,103.1,distant,1.03
cybernet,1016143,mcb.com.pk,110.5,distant,1.11
cybernet,1016154,mcb.com.pk,119.4,distant,1.2
ptcl,1016393,mcb.com.pk,131.9,distant,1.32
zcom,7613,ajk.gov.pk,90.8,distant,39.48
nayatel,60223,ajk.gov.pk,2.3,local,1.0
transworld,62224,ajk.gov.pk,95.3,distant,41.43
tes,64078,ajk.gov.pk,97.4,distant,42.35
orbit,64535,ajk.gov.pk,94.1,distant,40.91
tes,64722,ajk.gov.pk,78.1,distant,33.96
nayatel,65892,ajk.gov.pk,2.3,local,1.0
fasttel,1014872,ajk.gov.pk,201.4,distant,87.57
nova,1015679,ajk.gov.pk,92.5,distant,40.22
cybernet,1016036,ajk.gov.pk,22.3,regional,9.7
ptcl,1016126,ajk.gov.pk,269.3,distant,117.09
cybernet,1016143,ajk.gov.pk,4.2,local,1.83
cybernet,1016154,ajk.gov.pk,3.9,local,1.7
ptcl,1016393,ajk.gov.pk,267.3,distant,116.22
zcom,7613,joinasf.gov.pk,91.3,distant,39.7
nayatel,60223,joinasf.gov.pk,2.3,local,1.0
transworld,62224,joinasf.gov.pk,95.4,distant,41.48
tes,64078,joinasf.gov.pk,98.3,distant,42.74
orbit,64535,joinasf.gov.pk,94.2,distant,40.96
tes,64722,joinasf.gov.pk,78.3,distant,34.04
nayatel,65892,joinasf.gov.pk,3.0,local,1.3
fasttel,1014872,joinasf.gov.pk,204.8,distant,89.04
nova,1015679,joinasf.gov.pk,92.5,distant,40.22
cybernet,1016036,joinasf.gov.pk,22.6,regional,9.83
ptcl,1016126,joinasf.gov.pk,271.1,distant,117.87
cybernet,1016143,joinasf.gov.pk,4.1,local,1.78
cybernet,1016154,joinasf.gov.pk,3.8,local,1.65
ptcl,1016393,joinasf.gov.pk,269.1,distant,117.0
