kind,src_probe,src_label,dst_probe,dst_label,dst_ip,status,evidence,exit_name,exit_country,transit_name,max_rtt_ms,dest_rtt_ms,n_hops,reached,rtt_min_ms,rtt_avg_ms,packets_sent,packets_received,measurement_id
ping,60223,nayatel.isb,62224,transworld.lhe,110.93.235.222,no_reply,,,,,,,,,,,3,0,204250810
ping,60223,nayatel.isb,64078,tes.lhe,149.40.243.172,no_reply,,,,,,,,,,,3,0,204250812
ping,60223,nayatel.isb,64722,tes.khi,119.73.97.135,no_reply,,,,,,,,,,,3,0,204250814
ping,60223,nayatel.isb,65892,nayatel.lhe,154.192.116.198,no_reply,,,,,,,,,,,3,0,204250815
ping,60223,nayatel.isb,1014872,fasttel.isb,103.189.68.92,no_reply,,,,,,,,,,,3,0,204250816
ping,60223,nayatel.isb,1015210,ptcl.khi,182.185.145.65,ok,,,,,,,,,12.1,12.6,3,3,204250818
ping,60223,nayatel.isb,1015679,nova.lhe,103.184.1.10,no_reply,,,,,,,,,,,3,0,204250819
ping,60223,nayatel.isb,1016036,cybernet.hrp,72.255.54.129,no_reply,,,,,,,,,,,3,0,204250820
ping,60223,nayatel.isb,1016126,ptcl.khi,39.39.112.114,ok,,,,,,,,,33.0,33.2,3,3,204250822
ping,60223,nayatel.isb,1016143,cybernet.khi,103.244.174.231,no_reply,,,,,,,,,,,3,0,204250824
ping,62224,transworld.lhe,7613,zcom.lhe,157.20.147.16,ok,,,,,,,,,5.8,6.1,3,3,204250825
ping,62224,transworld.lhe,60223,nayatel.isb,154.192.15.243,no_reply,,,,,,,,,,,3,0,204250827
ping,62224,transworld.lhe,64078,tes.lhe,149.40.243.172,no_reply,,,,,,,,,,,3,0,204250841
ping,62224,transworld.lhe,64722,tes.khi,119.73.97.135,no_reply,,,,,,,,,,,3,0,204250843
ping,62224,transworld.lhe,65892,nayatel.lhe,154.192.116.198,no_reply,,,,,,,,,,,3,0,204250845
ping,62224,transworld.lhe,1014872,fasttel.isb,103.189.68.92,no_reply,,,,,,,,,,,3,0,204250846
ping,62224,transworld.lhe,1015210,ptcl.khi,182.185.145.65,ok,,,,,,,,,23.8,24.4,3,3,204250848
ping,62224,transworld.lhe,1015679,nova.lhe,103.184.1.10,no_reply,,,,,,,,,,,3,0,204250852
ping,62224,transworld.lhe,1016036,cybernet.hrp,72.255.54.129,no_reply,,,,,,,,,,,3,0,204250853
ping,62224,transworld.lhe,1016126,ptcl.khi,39.39.112.114,ok,,,,,,,,,29.0,29.6,3,3,204250854
ping,62224,transworld.lhe,1016143,cybernet.khi,103.244.174.231,no_reply,,,,,,,,,,,3,0,204250856
ping,64078,tes.lhe,7613,zcom.lhe,157.20.147.16,ok,,,,,,,,,38.6,38.8,3,3,204250857
ping,64078,tes.lhe,60223,nayatel.isb,154.192.15.243,no_reply,,,,,,,,,,,3,0,204250858
ping,64078,tes.lhe,62224,transworld.lhe,110.93.235.222,no_reply,,,,,,,,,,,3,0,204250860
ping,64078,tes.lhe,64722,tes.khi,119.73.97.135,no_reply,,,,,,,,,,,3,0,204250861
ping,64078,tes.lhe,65892,nayatel.lhe,154.192.116.198,no_reply,,,,,,,,,,,3,0,204250863
ping,64078,tes.lhe,1014872,fasttel.isb,103.189.68.92,no_reply,,,,,,,,,,,3,0,204250865
ping,64078,tes.lhe,1015210,ptcl.khi,182.185.145.65,ok,,,,,,,,,41.7,42.2,3,3,204250866
ping,64078,tes.lhe,1015679,nova.lhe,103.184.1.10,no_reply,,,,,,,,,,,3,0,204250874
ping,64078,tes.lhe,1016036,cybernet.hrp,72.255.54.129,no_reply,,,,,,,,,,,3,0,204250875
ping,64078,tes.lhe,1016126,ptcl.khi,39.39.112.114,ok,,,,,,,,,31.0,31.3,3,3,204250876
ping,64078,tes.lhe,1016143,cybernet.khi,103.244.174.231,no_reply,,,,,,,,,,,3,0,204250878
ping,64722,tes.khi,7613,zcom.lhe,157.20.147.16,ok,,,,,,,,,19.0,341.0,3,3,204250880
ping,64722,tes.khi,60223,nayatel.isb,154.192.15.243,no_reply,,,,,,,,,,,3,0,204250881
ping,64722,tes.khi,62224,transworld.lhe,110.93.235.222,no_reply,,,,,,,,,,,3,0,204250883
ping,64722,tes.khi,64078,tes.lhe,149.40.243.172,no_reply,,,,,,,,,,,3,0,204250884
ping,64722,tes.khi,65892,nayatel.lhe,154.192.116.198,no_reply,,,,,,,,,,,3,0,204250885
ping,64722,tes.khi,1014872,fasttel.isb,103.189.68.92,no_reply,,,,,,,,,,,3,0,204250887
ping,64722,tes.khi,1015210,ptcl.khi,182.185.145.65,ok,,,,,,,,,21.0,21.1,3,3,204250899
ping,64722,tes.khi,1015679,nova.lhe,103.184.1.10,no_reply,,,,,,,,,,,3,0,204250900
ping,64722,tes.khi,1016036,cybernet.hrp,72.255.54.129,no_reply,,,,,,,,,,,3,0,204250902
ping,64722,tes.khi,1016126,ptcl.khi,39.39.112.114,ok,,,,,,,,,11.2,333.0,3,3,204250912
ping,64722,tes.khi,1016143,cybernet.khi,103.244.174.231,no_reply,,,,,,,,,,,3,0,204250913
ping,65892,nayatel.lhe,7613,zcom.lhe,157.20.147.16,ok,,,,,,,,,38.8,39.1,3,3,204250915
ping,65892,nayatel.lhe,60223,nayatel.isb,154.192.15.243,no_reply,,,,,,,,,,,3,0,204250925
ping,65892,nayatel.lhe,62224,transworld.lhe,110.93.235.222,no_reply,,,,,,,,,,,3,0,204250929
ping,65892,nayatel.lhe,64078,tes.lhe,149.40.243.172,no_reply,,,,,,,,,,,3,0,204250931
ping,65892,nayatel.lhe,64722,tes.khi,119.73.97.135,no_reply,,,,,,,,,,,3,0,204250940
ping,65892,nayatel.lhe,1014872,fasttel.isb,103.189.68.92,no_reply,,,,,,,,,,,3,0,204250943
ping,65892,nayatel.lhe,1015210,ptcl.khi,182.185.145.65,ok,,,,,,,,,12.8,13.0,3,3,204250948
ping,65892,nayatel.lhe,1015679,nova.lhe,103.184.1.10,no_reply,,,,,,,,,,,3,0,204250958
ping,65892,nayatel.lhe,1016036,cybernet.hrp,72.255.54.129,no_reply,,,,,,,,,,,3,0,204250961
