# Candidate website pool -- from data/Local Internet Efficiency.pdf + all Tranco .pk sites.
# Columns: website,hosting,isp_cdn,tranco_rank   (hosting = Pakistani|Abroad|CDN)
# '#' lines are category headers/comments. Pick a subset into targets.csv for measurement.
website,hosting,isp_cdn,tranco_rank
ist.edu.pk,CDN,Cloudflare,505474
itu.edu.pk,Abroad,HOSTINGER SG (SG),508028
hamdard.edu.pk,Abroad,LiquidNet US LLC (US),509141
qurtuba.edu.pk,Abroad,Hetzner Online GmbH (DE),517098
lumhs.edu.pk,Abroad,GoDaddy.com  LLC (US),518333
habib.edu.pk,CDN,AWS,520467
bisedgkhan.edu.pk,Abroad,Tier.Net Technologies LLC (US),524798
lgu.edu.pk,CDN,Cloudflare,532983
szabist-isb.edu.pk,Pakistani,HEC,549506
salu.edu.pk,Pakistani,HEC,550370
duet.edu.pk,Abroad,Limestone Networks (US),555488
ssuet.edu.pk,Abroad,FortressITX (DE),571139
numspak.edu.pk,CDN,Cloudflare,571429
juw.edu.pk,Abroad,TierPoint  LLC (US),575346
thecityschool.edu.pk,CDN,Cloudflare,581704
biseatd.edu.pk,Abroad,Namecheap  Inc. (US),599084
uos.edu.pk,CDN,Cloudflare,602396
csn.edu.pk,Pakistani,PTCL ITI Lahore 7,602541
imsciences.edu.pk,CDN,Cloudflare,604227
