website,hosting,isp_cdn,rank,cisa_sector
kpst.gov.pk,Pakistani,National Telecommunication Corporation,797742,Government Services & Facilities
mohw.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,806431,Healthcare & Public Health
nhmp.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,810199,Government Services & Facilities
opmispunjab.gov.pk,Abroad,,812910,Government Services & Facilities
pbm.gov.pk,Pakistani,National Telecommunication Corporation,814977,Government Services & Facilities
peshawarhcmb.gov.pk,Pakistani,Pakistan Telecommuication company limited,815493,Government Services & Facilities
pifra.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,816153,Government Services & Facilities
pmrugb.gov.pk,Abroad,HOSTINGER US (US),817054,Government Services & Facilities
ptpkp.gov.pk,CDN,Cloudflare,818928,Government Services & Facilities
swkpk.gov.pk,Pakistani,National Telecommunication Corporation,831251,Government Services & Facilities
wpdgb.gov.pk,Abroad,Limestone Networks (US),842467,Government Services & Facilities
ndma.gov.pk,Pakistani,Pakistan Telecommuication company limited,847212,Government Services & Facilities
pmhealthprogram.gov.pk,CDN,Akamai,878786,Government Services & Facilities
surveyofpakistan.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,881037,Government Services & Facilities
molaw.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,884517,Government Services & Facilities
mofept.gov.pk,Pakistani,Cyber Internet Services (Private) Limited,889323,Government Services & Facilities
kppra.gov.pk,Pakistani,National Telecommunication Corporation,891923,Government Services & Facilities
pspc.gov.pk,Pakistani,National Telecommunication Corporation,916696,Government Services & Facilities
sindhhealth.gov.pk,Abroad,DigitalOcean  LLC (US),933716,Government Services & Facilities
punjablaws.gov.pk,Pakistani,PITB RO,970327,Government Services & Facilities
pof.gov.pk,CDN,Cloudflare,982214,Government Services & Facilities
fbise.edu.pk,CDN,Cloudflare,10881,Education
aiou.edu.pk,Pakistani,HEC,19302,Education
lums.edu.pk,Abroad,,39878,Education
pu.edu.pk,Pakistani,HEC,53105,Education
nust.edu.pk,CDN,Cloudflare,56232,Education
comsats.edu.pk,CDN,Cloudflare,59476,Education
pesrp.edu.pk,Pakistani,Nexlinx,65655,Education
nu.edu.pk,Pakistani,COMSATS,69369,Education
superior.edu.pk,CDN,Cloudflare,69463,Education
cpsp.edu.pk,Pakistani,HEC,70696,Healthcare & Public Health
uol.edu.pk,CDN,Cloudflare,70779,Education
uhs.edu.pk,CDN,Cloudflare,75874,Education
ucp.edu.pk,CDN,Cloudflare,78237,Education
usindh.edu.pk,Abroad,Hetzner Online GmbH (DE),79024,Education
banuri.edu.pk,CDN,Cloudflare,81258,Education
cust.edu.pk,CDN,Cloudflare,86070,Education
bisegrw.edu.pk,CDN,Cloudflare,86254,Education
bisemultan.edu.pk,Pakistani,Mobilink GSM,87821,Education
uog.edu.pk,Abroad,Hetzner Online GmbH (DE),88399,Education
mul.edu.pk,Abroad,Liquid Web  L.L.C (US),88978,Education
pefsis.edu.pk,Pakistani,PTCL Triple Play Project,95138,Education
uoel.edu.pk,CDN,AWS,95759,Education
uaar.edu.pk,CDN,Cloudflare,96724,Education
bbise.edu.pk,Pakistani,Wateen Telecom Limited,102173,Education
riphah.edu.pk,CDN,Cloudflare,114151,Education
qau.edu.pk,Pakistani,HEC,120026,Education
muet.edu.pk,CDN,Cloudflare,129126,Education
umt.edu.pk,CDN,Cloudflare,135746,Education
bahria.edu.pk,Pakistani,HEC,136893,Education
