trace_time,target_hostname,target_label,target_category,probe_id,probe_asn,probe_asn_reg,probe_city,probe_ip,target_ip,target_asn,target_asn_name,target_country,dest_rtt_ms,total_hops,timeout_hops,asns_in_path,countries_in_path,dest_location,location_via,destination_responded,measurement_id
2026-06-15T06:58:38+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,100.929,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T07:13:41+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,99.0,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T07:28:39+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,99.147,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T07:43:34+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,99.25,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T07:58:31+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,98.923,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T08:13:32+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,99.268,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T08:28:40+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,99.322,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T08:43:34+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,99.378,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T08:58:29+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,99.24,6,5,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T09:13:35+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,99.574,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T09:28:43+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,98.938,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
2026-06-15T09:43:37+00:00,daraz.pk,Daraz,ecommerce,1015679,136174,136174,LocalInternetProj01 Lahore,103.184.1.10,47.246.167.168,45102,"ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN",US,98.956,7,4,6327 > 38193 > 45102,CA > PK > US,"Singapore, North West, SG",server IP,True,180055878
